item_id,rater_id,evaluation
case_029,B,Include
case_029,C,Include
case_029,LLM,Include
case_030,A,Exclude
case_030,B,Exclude
case_030,C,Exclude
case_030,LLM,Exclude
case_031,A,Exclude
case_031,B,Exclude
case_031,C,Exclude
case_031,LLM,Exclude
case_032,A,Exclude
case_032,B,Exclude
case_032,C,Exclude
case_032,LLM,Exclude
case_033,A,Include
case_033,B,Include
case_033,C,Include
case_033,LLM,Include
case_034,A,Exclude
case_034,B,Exclude
case_034,C,Include
case_034,LLM,Exclude
case_035,A,Exclude
case_035,B,Exclude
case_035,C,Exclude
case_035,LLM,Exclude
case_036,A,Exclude
case_036,B,Exclude
case_036,C,Exclude
case_036,LLM,Exclude
case_037,A,Exclude
case_037,B,Exclude
case_037,C,Exclude
case_037,LLM,Exclude
case_038,A,Exclude
case_038,B,Exclude
case_038,C,Exclude
case_038,LLM,Exclude
case_039,A,Include
case_039,B,Include
case_039,C,Include
case_039,LLM,Include
case_040,A,Exclude
case_040,B,Include
case_040,C,Exclude
case_040,LLM,Include
case_041,A,Exclude
case_041,B,Exclude
case_041,C,Exclude
case_041,LLM,Exclude
case_042,A,Exclude
case_042,B,Exclude
case_042,C,Exclude
case_042,LLM,Exclude
case_043,A,Exclude
case_043,B,Include
case_043,C,Exclude
case_043,LLM,Exclude
case_044,A,Exclude
case_044,B,Exclude
case_044,C,Exclude
case_044,LLM,Exclude
case_045,A,Exclude
case_045,B,Exclude
case_045,C,Exclude
case_045,LLM,Exclude
case_046,A,Include
case_046,B,Include
case_046,C,Include
case_046,LLM,Include
case_047,A,Exclude
case_047,B,Exclude
case_047,C,Exclude
case_047,LLM,Exclude
case_048,A,Include
case_048,B,Include
case_048,C,Exclude
case_048,LLM,Include
case_049,A,Exclude
case_049,B,Exclude
case_049,C,Exclude
case_049,LLM,Exclude
case_050,A,Exclude
case_050,B,Exclude
case_050,C,Exclude
case_050,LLM,Exclude
case_051,A,Exclude
case_051,B,Exclude
case_051,C,Exclude
case_051,LLM,Exclude
case_052,A,Exclude
case_052,B,Exclude
case_052,C,Exclude
case_052,LLM,Exclude
case_053,A,Exclude
case_053,B,Exclude
case_053,C,Exclude
case_053,LLM,Exclude
case_054,A,Exclude
case_054,B,Include
case_054,C,Exclude
case_054,LLM,Include
case_055,A,Exclude
case_055,B,Exclude
case_055,C,Exclude
case_055,LLM,Exclude
case_056,A,Exclude
case_056,B,Include
case_056,C,Include
case_056,LLM,Exclude
case_057,A,Include
case_057,B,Include
case_057,C,Include
case_057,LLM,Exclude
case_058,A,Exclude
case_058,B,Exclude
case_058,C,Exclude
case_058,LLM,Exclude
case_059,A,Exclude
case_059,B,Exclude
case_059,C,Exclude
case_059,LLM,Include
case_060,A,Exclude
case_060,B,Include
case_060,C,Exclude
case_060,LLM,Exclude
case_061,A,Exclude
case_061,B,Exclude
case_061,C,Exclude
case_061,LLM,Exclude
case_062,A,Include
case_062,B,Include
case_062,C,Include
case_062,LLM,Include
case_063,A,Exclude
case_063,B,Exclude
case_063,C,Exclude
case_063,LLM,Exclude
case_064,A,Exclude
case_064,B,Exclude
case_064,C,Exclude
case_064,LLM,Exclude
case_065,A,Exclude
case_065,B,Exclude
case_065,C,Exclude
case_065,LLM,Exclude
case_066,A,Exclude
case_066,B,Exclude
case_066,C,Exclude
case_066,LLM,Exclude
case_067,A,Exclude
case_067,B,Exclude
case_067,C,Exclude
case_067,LLM,Exclude
case_068,A,Exclude
case_068,B,Exclude
case_068,C,Exclude
case_068,LLM,Exclude
case_069,A,Exclude
case_069,B,Exclude
case_069,C,Include
case_069,LLM,Include
case_070,A,Exclude
case_070,B,Exclude
case_070,C,Exclude
case_070,LLM,Exclude
case_071,A,Exclude
case_071,B,Exclude
case_071,C,Exclude
case_071,LLM,Exclude
case_072,A,Exclude
case_072,B,Exclude
case_072,C,Exclude
case_072,LLM,Exclude
case_073,A,Exclude
case_073,B,Exclude
case_073,C,Exclude
case_073,LLM,Exclude
case_074,A,Exclude
case_074,B,Exclude
case_074,C,Exclude
case_074,LLM,Exclude
case_075,A,Exclude
case_075,B,Exclude
case_075,C,Exclude
case_075,LLM,Exclude
case_076,A,Exclude
case_076,B,Exclude
case_076,C,Exclude
case_076,LLM,Exclude
case_077,A,Exclude
case_077,B,Exclude
case_077,C,Exclude
case_077,LLM,Exclude
case_078,A,Exclude
case_078,B,Exclude
case_078,C,Exclude
case_078,LLM,Exclude
case_079,A,Exclude
case_079,B,Exclude
case_079,C,Exclude
case_079,LLM,Exclude
case_080,A,Include
case_080,B,Exclude
case_080,C,Exclude
case_080,LLM,Include
case_081,A,Exclude
case_081,B,Exclude
case_081,C,Exclude
case_081,LLM,Exclude
case_082,A,Exclude
case_082,B,Exclude
case_082,C,Exclude
case_082,LLM,Exclude
case_083,A,Exclude
case_083,B,Exclude
case_083,C,Exclude
case_083,LLM,Exclude
case_084,A,Exclude
case_084,B,Exclude
case_084,C,Exclude
case_084,LLM,Exclude
case_085,A,Include
case_085,B,Include
case_085,C,Exclude
case_085,LLM,Include
case_086,A,Exclude
case_086,B,Exclude
case_086,C,Exclude
case_086,LLM,Exclude
case_087,A,Exclude
case_087,B,Exclude
case_087,C,Exclude
case_087,LLM,Exclude
case_088,A,Exclude
case_088,B,Exclude
case_088,C,Exclude
case_088,LLM,Exclude
case_089,A,Exclude
case_089,B,Exclude
case_089,C,Exclude
case_089,LLM,Exclude
case_090,A,Exclude
case_090,B,Exclude
case_090,C,Exclude
case_090,LLM,Exclude
case_091,A,Exclude
case_091,B,Exclude
case_091,C,Exclude
case_091,LLM,Exclude
case_092,A,Exclude
case_092,B,Exclude
case_092,C,Exclude
case_092,LLM,Exclude
case_093,A,Exclude
case_093,B,Exclude
case_093,C,Exclude
case_093,LLM,Exclude
case_094,A,Exclude
case_094,B,Exclude
case_094,C,Exclude
case_094,LLM,Exclude
case_095,A,Exclude
case_095,B,Exclude
case_095,C,Exclude
case_095,LLM,Exclude
case_096,A,Include
case_096,B,Include
case_096,C,Include
case_096,LLM,Include
case_097,A,Exclude
case_097,B,Exclude
case_097,C,Exclude
case_097,LLM,Exclude
case_098,A,Exclude
case_098,B,Exclude
case_098,C,Exclude
case_098,LLM,Exclude
case_099,A,Include
case_099,B,Exclude
case_099,C,Exclude
case_099,LLM,Exclude
case_100,A,Exclude
case_100,B,Exclude
case_100,C,Exclude
case_100,LLM,Exclude
